"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW_EC58,SW_EC50,SW_EC40,SW_EC20,SW_EC6,SW_EC32,SW_EC41,SW_EC77,SW_EC55,SW_EC56,SW_EC3,SW_EC43,SW_EC24,SW_EC74,SW_EC17,SW_EC9,SW_EC42,SW_EC73,SW_EC54,SW_EC72,SW_EC83,SW_EC36,SW_EC18,SW_EC67,SW_EC10,SW_EC33,SW_EC28,SW_EC13,SW_EC39,SW_EC34,SW_EC61,SW_EC26,SW_EC49,SW_EC11,SW_EC85,SW_EC69,SW_EC60,SW_EC2,SW_EC7,SW_EC46,SW_EC53,SW_EC75,SW_EC14,SW_EC66,SW_EC16,SW_EC59,SW_EC30,SW_EC19,SW_EC51,SW_EC23,SW_EC12,SW_EC44,SW_EC68,SW_EC8,SW_EC25,SW_EC45,SW_EC22,SW_EC29,SW_EC4,SW_EC47,SW_EC57,SW_EC63,SW_EC5,SW_EC70,SW_EC15,SW_EC62,SW_EC37,SW_EC21,SW_EC71,SW_EC38,SW_EC27,SW_EC84,SW_EC1";"ecs_pad_1U_no_ring";73;"Topre";;;
2;"R28,R24,R27,R15,R26,R30,R14,R16,R31,R6,R25,R17,R21,R20,R19,R29,R18";"R_0402_1005Metric";17;"100k";;;
3;"H28,H34,H20,H16,H13,H14,H53,H54,H23,H40,H19,H38,H30,H51,H22,H17,H50,H2,H36,H26,H24,H21,H39,H42,H15,H45,H18,H43,H44,H32,H29,H47,H37,H33,H46,H27,H41,H25,H52,H49,H48,H35,H31";"M2 screwhole";43;"MountingHole";;;
4;"U5";"SOIC-8_3.9x4.9mm_P1.27mm";1;"OPA350";;;
5;"R9,R7,R4,R5,R10,R8";"R_0402_1005Metric";6;"100";;;
6;"SW_EC89,SW_EC87,SW_EC31";"ecs_pad_1U_no_ring";3;"1U";;;
7;"C12,C14,C15,C8,C6,C9,C10,C7";"C_0402_1005Metric";8;"100n";;;
8;"SW1";"PinHeader_1x02_P1.27mm_Vertical";1;"BOOT0";;;
9;"U6,U4";"TSSOP16";2;"74HC4051";;;
10;"R22";"R_0603_1608Metric";1;"100k";;;
11;"SW_EC79,SW_EC48,SW_EC35,SW_EC82,SW_EC81,SW_EC78";"ecs_pad_1.5U_no_ring";6;"1.5U";;;
12;"C3";"C_0402_1005Metric";1;"4.7u";;;
13;"C11,C4,C5";"C_0402_1005Metric";3;"1u";;;
14;"SW_EC52";"ecs_pad_no_ring_stepped&normal";1;"Stepped+Normal";;;
15;"U3";"SOT-23";1;"ME6206A33M3G";;;
16;"H5,H6,H3,H8,H12,H4,H9,H7,H11,H10";"breakaway-mousebites";10;"MountingHole";;;
17;"R11,R12,R13";"R_0402_1005Metric";3;"10k";;;
18;"J1";"JST-SR-4";1;"JST";;;
19;"R23";"R_0603_1608Metric";1;"1k";;;
20;"FID1,FID2,FID0";"Fiducial_1.5mm_Mask3mm";3;"MountingHole";;;
21;"Y1";"Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm";1;"8 MHz";;;
22;"REF**";"ecs_7U_space_stab";1;"Value ";;;
23;"F1";"Fuse_1206_3216Metric";1;"500mA";;;
24;"SW_EC88";"ecs_pad_1.75U_no_ring";1;"1.75U";;;
25;"U2";"SOT-23-5";1;"SN74AHCT1G125";;;
26;"SW_EC64,SW_EC65";"ecs_pad_2.25U_no_ring";2;"2.25U";;;
27;"JP1";"R_0603_1608Metric";1;"Ext_Res";;;
28;"C13";"C_0603_1608Metric";1;"220p";;;
29;"SW_EC80";"ecs_pad_7U_no_ring";1;"7U";;;
30;"SW_EC86";"ecs_pad_1U_no_ring";1;"2U";;;
31;"SW_EC76";"ecs_pad_2.75U_no_ring";1;"2.75U";;;
32;"U1";"QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm";1;"STM32F401CBUx";;;
33;"J3";"PinHeader_1x03_P2.00mm_Vertical";1;"Conn_01x03";;;
34;"H1";"xcalla";1;"MountingHole";;;
